"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Independent Optimized Execution of Step 18","0","test18_Activity","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test18_Activity"
"Independent Optimized Execution of Step 11","0","test11_ProductsMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test11_ProductsMenu"
"Independent Optimized Execution of Step 3","0","test03_SignInButton","Surefire suite","2026-04-19","skipped","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test03_SignInButton"
"Independent Optimized Execution of Step 10","0","test10_ReorderwidgetsButton","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test10_ReorderwidgetsButton"
"Independent Optimized Execution of Step 13","0","test13_CartMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test13_CartMenu"
"Independent Optimized Execution of Step 12","0","test12_AddToCartButton","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test12_AddToCartButton"
"Independent Optimized Execution of Step 26","0","test26_SignoutButton","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test26_SignoutButton"
"Independent Optimized Execution of Step 23","0","test23_AddToCartButton","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test23_AddToCartButton"
"Independent Optimized Execution of Step 7","0","test07_CheckoutMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test07_CheckoutMenu"
"","1","setupTest","Surefire suite","2026-04-19","broken","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","setupTest"
"Independent Optimized Execution of Step 21","0","test21_Operations","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test21_Operations"
"Independent Optimized Execution of Step 14","0","test14_CheckoutMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test14_CheckoutMenu"
"Independent Optimized Execution of Step 24","0","test24_DashboardMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test24_DashboardMenu"
"Independent Optimized Execution of Step 8","1","test08_SettingsMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test08_SettingsMenu"
"Independent Optimized Execution of Step 6","0","test06_CartMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test06_CartMenu"
"Independent Optimized Execution of Step 20","1","test20_Refunds","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test20_Refunds"
"Independent Optimized Execution of Step 2","1","test02_PasswordInput","Surefire suite","2026-04-19","skipped","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test02_PasswordInput"
"Independent Optimized Execution of Step 4","1","test04_ProductsMenu","Surefire suite","2026-04-19","skipped","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test04_ProductsMenu"
"Independent Optimized Execution of Step 22","0","test22_ProductsMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test22_ProductsMenu"
"Independent Optimized Execution of Step 25","0","test25_ReorderwidgetsButton","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test25_ReorderwidgetsButton"
"Independent Optimized Execution of Step 1","1","test01_EmailInput","Surefire suite","2026-04-19","skipped","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test01_EmailInput"
"Independent Optimized Execution of Step 9","0","test09_DashboardMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test09_DashboardMenu"
"Independent Optimized Execution of Step 17","0","test17_Orders","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test17_Orders"
"Independent Optimized Execution of Step 15","0","test15_SettingsMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test15_SettingsMenu"
"Independent Optimized Execution of Step 19","0","test19_Revenue","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test19_Revenue"
"Independent Optimized Execution of Step 16","0","test16_DashboardMenu","Surefire suite","2026-04-19","unknown","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test16_DashboardMenu"
"Independent Optimized Execution of Step 5","0","test05_AddtoCartButton","Surefire suite","2026-04-19","skipped","2026-04-19","e2e.DashboardTest","Surefire test","e2e.DashboardTest","test05_AddtoCartButton"
